epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,2723.33,0.92732,0.85623,1.00374,0.39517,0.47078,0.40513,0.23832,1.88003,2.12027,1.80659,0.0004159,0.0004159,0.0004159
120,2746.09,0.8894,0.81468,1.0004,0.38005,0.48233,0.41092,0.24429,1.84886,2.0971,1.79249,0.00041095,0.00041095,0.00041095
121,2768.24,0.94346,0.89952,1.04101,0.40149,0.45604,0.41296,0.24222,1.84492,2.01475,1.8139,0.000406,0.000406,0.000406
122,2791.46,0.92889,0.8726,1.05596,0.4383,0.4449,0.41718,0.24441,1.85037,1.99053,1.81669,0.00040105,0.00040105,0.00040105
123,2813.46,0.90013,0.84804,0.99992,0.4203,0.48725,0.42883,0.25895,1.85584,2.01609,1.83344,0.0003961,0.0003961,0.0003961
124,2836.42,0.88576,0.81888,1.04893,0.42402,0.48963,0.42897,0.25541,1.83571,2.00849,1.81976,0.00039115,0.00039115,0.00039115
125,2858.16,0.89986,0.79763,1.00937,0.4387,0.4823,0.43118,0.25407,1.8674,1.9758,1.84537,0.0003862,0.0003862,0.0003862
126,2880.92,0.92182,0.82982,1.01742,0.37469,0.50239,0.43266,0.25461,1.87389,1.91111,1.83289,0.00038125,0.00038125,0.00038125
127,2902.44,0.87506,0.79089,0.97706,0.40265,0.49748,0.4459,0.26384,1.84684,1.85731,1.82142,0.0003763,0.0003763,0.0003763
128,2924.69,0.91924,0.80722,1.01796,0.4414,0.4902,0.44584,0.26337,1.83969,1.87562,1.80144,0.00037135,0.00037135,0.00037135
129,2946.42,0.91077,0.82509,1.03258,0.5153,0.45393,0.45028,0.26513,1.81901,1.94588,1.77196,0.0003664,0.0003664,0.0003664
130,2968.76,0.98667,0.84849,1.11171,0.54203,0.45973,0.45447,0.2646,1.84467,1.94236,1.78561,0.00036145,0.00036145,0.00036145
131,2991.64,0.89775,0.78211,1.01261,0.52123,0.45942,0.45353,0.26582,1.85179,1.89394,1.79652,0.0003565,0.0003565,0.0003565
132,3014.39,0.82585,0.75127,0.9877,0.52264,0.44466,0.45289,0.2687,1.87796,1.91329,1.83631,0.00035155,0.00035155,0.00035155
133,3036.5,0.84094,0.79315,0.98315,0.48614,0.46356,0.45182,0.27063,1.8772,1.968,1.83657,0.0003466,0.0003466,0.0003466
134,3058.09,0.86442,0.76958,0.9731,0.44061,0.51956,0.45056,0.26291,1.87462,1.97279,1.82001,0.00034165,0.00034165,0.00034165
135,3079.81,0.84565,0.75311,0.97627,0.54584,0.44466,0.46261,0.27478,1.84953,1.98953,1.81784,0.0003367,0.0003367,0.0003367
136,3102.46,0.84127,0.75817,0.99484,0.60395,0.42963,0.46152,0.27313,1.86027,1.98854,1.81636,0.00033175,0.00033175,0.00033175
137,3124.51,0.83947,0.7661,0.979,0.48262,0.4611,0.4621,0.26988,1.874,1.93121,1.82515,0.0003268,0.0003268,0.0003268
138,3147.6,0.92053,0.84049,1.01752,0.54574,0.43375,0.47015,0.27377,1.86626,1.91959,1.81673,0.00032185,0.00032185,0.00032185
139,3170.67,0.86146,0.76173,1.00548,0.51729,0.44618,0.46523,0.26963,1.87429,1.89228,1.83809,0.0003169,0.0003169,0.0003169
140,3192.54,0.77155,1.30524,0.9196,0.51199,0.44995,0.4511,0.26158,1.85617,1.92192,1.83008,0.00031195,0.00031195,0.00031195
141,3214.18,0.85694,0.78763,0.97139,0.46075,0.44822,0.43566,0.25877,1.8709,1.97708,1.8419,0.000307,0.000307,0.000307
142,3236.39,0.87712,0.77523,0.99128,0.49801,0.42207,0.4361,0.25157,1.88226,2.04331,1.85238,0.00030205,0.00030205,0.00030205
143,3258.1,0.90348,0.87183,1.08058,0.44788,0.4783,0.42453,0.2467,1.85719,1.99169,1.82841,0.0002971,0.0002971,0.0002971
144,3279.7,0.86552,0.77042,0.99296,0.46192,0.49572,0.42071,0.2459,1.85257,1.96695,1.82195,0.00029215,0.00029215,0.00029215
145,3301.46,0.79528,0.70317,0.94543,0.43537,0.51048,0.42671,0.24938,1.84983,2.00307,1.82411,0.0002872,0.0002872,0.0002872
146,3323.56,0.84771,0.75362,0.99251,0.43137,0.5118,0.42704,0.24629,1.88091,2.00734,1.83601,0.00028225,0.00028225,0.00028225
147,3345.8,0.85087,0.75185,0.99679,0.4157,0.48055,0.42549,0.2516,1.87922,1.98016,1.85424,0.0002773,0.0002773,0.0002773
148,3367.9,0.83386,0.80552,1.0018,0.48207,0.45202,0.44567,0.25895,1.87592,1.9482,1.8422,0.00027235,0.00027235,0.00027235
149,3390.15,0.84574,0.74668,0.988,0.49691,0.45683,0.43848,0.25349,1.87444,1.94195,1.83584,0.0002674,0.0002674,0.0002674
150,3411.82,0.82009,0.73981,0.99861,0.48192,0.45544,0.44676,0.25334,1.90816,1.92359,1.86412,0.00026245,0.00026245,0.00026245
151,3433.5,0.86611,0.76174,1.01249,0.48314,0.46661,0.44019,0.25708,1.91802,1.93048,1.87408,0.0002575,0.0002575,0.0002575
152,3455.52,0.83115,0.74386,1.00897,0.54145,0.44196,0.44591,0.2643,1.9041,1.93383,1.86959,0.00025255,0.00025255,0.00025255
153,3477.07,0.88258,0.82158,1.07687,0.526,0.46058,0.44013,0.26609,1.90041,1.93311,1.87546,0.0002476,0.0002476,0.0002476
154,3498.67,0.84199,0.74373,0.98687,0.48335,0.4717,0.43874,0.26722,1.90537,1.93723,1.88642,0.00024265,0.00024265,0.00024265
